hash,author,date,message
61b5299,Naman Agarwal,"feat: Introduce comprehensive documentation for features and architecture, remove the legacy processes API, and update conformance and dataset services.",
3e4433a,Naman Agarwal,"feat: Introduce comprehensive documentation for features and architecture, remove the legacy processes API, and update conformance and dataset services.",
3c7c910,Naman Agarwal,"feat: Introduce authentication, workspace management, dataset API, and new process mining engine components with updated documentation and frontend integration.  - stable enough",
94b0278,Naman Agarwal,"feat: Introduce authentication, workspace management, dataset API, and new process mining engine components with updated documentation and frontend integration.  - stable enough",
b2891a1,Naman Agarwal,"feat: Introduce real-time backend observability, implement a new domain model, and add comprehensive documentation.",
2f530c3,Naman Agarwal,"feat: Introduce real-time backend observability, implement a new domain model, and add comprehensive documentation.",
f727f3c,Naman Agarwal,"feat: Introduce backend infrastructure, core utilities, and agent governance documentation, alongside updates to services and API routing.",
be3d4d9,Naman Agarwal,"feat: Introduce backend infrastructure, core utilities, and agent governance documentation, alongside updates to services and API routing.",
0f1c52a,Naman Agarwal,"feat: Introduce new frontend components and backend services, update database schemas, and enhance AI, analytics, and project features.",
e8a29b6,Naman Agarwal,"feat: Introduce new frontend components and backend services, update database schemas, and enhance AI, analytics, and project features.",
454f656,Naman Agarwal,"feat: Refactor frontend into a features-based structure for AI, Explorer, Analytics, and KPI modules, and introduce Ocel2 model with DuckDB ingestion on the backend.",
c99af8f,Naman Agarwal,"feat: Refactor frontend into a features-based structure for AI, Explorer, Analytics, and KPI modules, and introduce Ocel2 model with DuckDB ingestion on the backend.",
406b894,Naman Agarwal,feat: Implement projects feature with dedicated pages and integrate new ProcessNode component into the design system.,
e2d7bd9,Naman Agarwal,feat: Implement projects feature with dedicated pages and integrate new ProcessNode component into the design system.,
0a619de,Naman Agarwal,"feat: Implement feature templating, core architectural components, project features, and extensive documentation, while refactoring authentication and updating various pages and services.",
41aa94c,Naman Agarwal,"feat: Implement feature templating, core architectural components, project features, and extensive documentation, while refactoring authentication and updating various pages and services.",
c7e256e,Naman Agarwal,"feat: Rearchitect frontend with new Home, KPI, Questions, and Project pages, expand design system components and hooks, and update API integrations.",
819ba06,Naman Agarwal,"feat: Rearchitect frontend with new Home, KPI, Questions, and Project pages, expand design system components and hooks, and update API integrations.",
3fe6d77,Naman Agarwal,started refactoring FE,
c4a1f6b,Naman Agarwal,started refactoring FE,
8d781d7,Naman Agarwal,"feat: Introduce project management, AI assistant, and process ingestion with progress tracking.",
7640476,Naman Agarwal,"feat: Introduce project management, AI assistant, and process ingestion with progress tracking.",
cf9527e,Naman Agarwal,"feat: Integrate Storybook, add new analytics tabs and test page, and enhance process explorer with PNG/CSV export.",
e4a560a,Naman Agarwal,"feat: Integrate Storybook, add new analytics tabs and test page, and enhance process explorer with PNG/CSV export.",
2236ebc,Naman Agarwal,"feat: Introduce backend health context, add PM4Py performance demo, and update various frontend pages and design system components.",
ac56731,Naman Agarwal,"feat: Introduce backend health context, add PM4Py performance demo, and update various frontend pages and design system components.",
2467640,Naman Agarwal,chore: remove SDK module and update root README,
dc7f9c2,Naman Agarwal,chore: remove SDK module and update root README,
6bdf1cf,Naman Agarwal,feat: enhance event log ingestion with improved column detection and introduce new process explorer components and prediction API modules.,
a7e7499,Naman Agarwal,feat: enhance event log ingestion with improved column detection and introduce new process explorer components and prediction API modules.,
9c5611b,Naman Agarwal,"feat: Implement frontend dev logger integration and navigation after login, fix SQLAlchemy boolean filtering, and refine UI loading states.",
aa4a435,Naman Agarwal,"feat: Implement frontend dev logger integration and navigation after login, fix SQLAlchemy boolean filtering, and refine UI loading states.",
867e844,Naman Agarwal,feat: Implement dynamic data fetching and display for PerformanceTab and introduce dev logging.,
1b80cb3,Naman Agarwal,feat: Implement dynamic data fetching and display for PerformanceTab and introduce dev logging.,
5adcb24,Naman Agarwal,feat: Implement new modular API SDK with dedicated modules and add comprehensive documentation for frontend integration.,
8558fb2,Naman Agarwal,feat: Implement new modular API SDK with dedicated modules and add comprehensive documentation for frontend integration.,
986aff1,Naman Agarwal,"feat: add comprehensive backend test suite for process mining, OCPM, and analytics, including new test data and fixtures.",
a5dc9a2,Naman Agarwal,"feat: add comprehensive backend test suite for process mining, OCPM, and analytics, including new test data and fixtures.",
9e3caa9,Naman Agarwal,"docs: Replace API overhaul plan and handoff documentation with comprehensive architecture, changelog, and new backend testing documents.",
1ada68f,Naman Agarwal,feat: remove frontend application files and add backend documentation.,
995ef62,Naman Agarwal,feat: remove frontend application files and add backend documentation.,
47d2307,Naman Agarwal,"feat: Migrate frontend documentation to a new directory and update backend services, schemas, and API documentation.",
7a100e1,Naman Agarwal,"feat: Migrate frontend documentation to a new directory and update backend services, schemas, and API documentation.",
5edf50b,Naman Agarwal,"feat: Enhance process analysis with variant complexity, activity statistics, and API for OCEL data.",
96d8d21,Naman Agarwal,"feat: Enhance process analysis with variant complexity, activity statistics, and API for OCEL data.",
6db8c12,Naman Agarwal,"chore: Remove process platform demo application and add agent session log, pm4py API schema, and frontend review.",
ff1b1d5,Naman Agarwal,"chore: Remove process platform demo application and add agent session log, pm4py API schema, and frontend review.",
248581b,Naman Agarwal,"feat: Introduce AI predictions and insights pages, update frontend routing, and add backend documentation.",
34fb20e,Naman Agarwal,"feat: Introduce AI predictions and insights pages, update frontend routing, and add backend documentation.",
ed32b96,Naman Agarwal,"feat: Add new analytics section with Performance, Rework, and Conformance tabs.",
9bc1c99,Naman Agarwal,"feat: Add new analytics section with Performance, Rework, and Conformance tabs.",
0aa6210,Naman Agarwal,feat: add Process Explorer UI with dedicated pages and components,
6e296c4,Naman Agarwal,feat: add Process Explorer UI with dedicated pages and components,
330d432,Naman Agarwal,"feat: Add event log management pages, including list, detail, and upload functionalities.",
b69bee1,Naman Agarwal,"feat: Add event log management pages, including list, detail, and upload functionalities.",
304c49e,Naman Agarwal,refactor: Determine default logger level based on 'localhost' hostname instead of `import.meta.env.DEV`.,
de5d8f3,Naman Agarwal,refactor: Determine default logger level based on 'localhost' hostname instead of `import.meta.env.DEV`.,
cbbef07,Naman Agarwal,Frontend setting page upadate to shell,
8d0c5cc,Naman Agarwal,Frontend setting page upadate to shell,
85d07ab,Naman Agarwal,"feat: Add frontend-new implementation with Nx monorepo, React 19, and design system",
339b556,Naman Agarwal,"feat: Add frontend-new implementation with Nx monorepo, React 19, and design system",
2f45026,Naman Agarwal,chore: remove legacy process-mining app and old libraries,
211ed5a,Naman Agarwal,chore: remove legacy process-mining app and old libraries,
9011563,Naman Agarwal,docs: update CLAUDE.md with Lumina architecture and domain libraries,
2db9ade,Naman Agarwal,docs: add git workflow protocol and contributing guidelines,
4e3f23c,Naman Agarwal,docs: add git workflow protocol and contributing guidelines,
4d16473,Naman Agarwal,Complete system refactoring with simplified architecture and SDK,
c9b606f,Naman Agarwal,Complete system refactoring with simplified architecture and SDK,
9097293,Naman Agarwal,feat: Add workflows API router and install Python dependencies.,
b34f50f,Naman Agarwal,feat: Add workflows API router and install Python dependencies.,
de2135d,Naman Agarwal,"feat: Add comprehensive tooling, SDK, and observability infrastructure",
9e21bbe,Naman Agarwal,"feat: Add comprehensive tooling, SDK, and observability infrastructure",
5a587b5,Naman Agarwal,"chore: declutter codebase - Remove tracked files now covered by .gitignore - Clean test uploads, db backups, cache files - Add comprehensive .gitignore for Python/Node/data files Space recovered: ~1.1GB",
02ec98a,Naman Agarwal,"chore: declutter codebase - Remove tracked files now covered by .gitignore - Clean test uploads, db backups, cache files - Add comprehensive .gitignore for Python/Node/data files Space recovered: ~1.1GB",
49d247d,Naman Agarwal,Add comprehensive process mining features and OCEL 2.0 support,
1899af0,Naman Agarwal,Add comprehensive process mining features and OCEL 2.0 support,
40a6fb6,Naman Agarwal,"Initial commit with backend, demo, and docs",
43fbe25,Naman Agarwal,"Initial commit with backend, demo, and docs",
781cebc,Naman Agarwal,"feat: Use Directly-Follows Graph (DFG) as the primary data source for the process map viewer, consuming DFG nodes and edges directly.",
00a9a24,Naman Agarwal,"refactor: Consolidate API schemas and database models, migrating to SQLModel and removing redundant model files.",
53ab628,Naman Agarwal,feat: Migrate process mining logic to a new Python backend with Celery tasks and update frontend API interactions.,
7a44694,Naman Agarwal,feat: Add admin dashboard for system visibility and integrate Sentry for application monitoring.,
f4bc8a5,Naman Agarwal,"feat: Implement user management, database integration, and CI/CD with new Dockerfiles and testing infrastructure.",
c0b09ce,Naman Agarwal,"feat: Implement user management, structured logging, database setup, and CI/CD for backend.",
23bbb2e,Naman Agarwal,"feat: Add database persistence, asynchronous processing, user management, Dockerization, and CI/CD with comprehensive backend tests.",
0be8d9d,Naman Agarwal,feat: Offload process mining to a web worker and enhance process map layering with cycle detection and improved start activity identification.,
b05a1dd,Naman Agarwal,"feat: Add Vercel and Railway deployment configurations, comprehensive setup documentation, sample event log, and refine insights page data display.",
4ec3b06,Naman Agarwal,"feat: introduce backend process mining workflow with new hooks and API, updating app store for job status and metadata",
cf0b6f5,Naman Agarwal,"feat: Implement backend API for process mining with file uploads, data processing, and Docker infrastructure.",
4f06233,Naman Agarwal,"feat: Add keyboard shortcuts, theme toggle, error boundaries, and various shared UI components, and persist UI store preferences.",
290ee0f,Naman Agarwal,"feat: Add comprehensive insights section including various charts, timelines, and export capabilities.",
4eabd35,Naman Agarwal,"feat: enhance variants tab with sorting, filtering, distribution chart, and variant case details dialog",
e3eee49,Naman Agarwal,"feat: Introduce process map visualization and analysis UI, including components for legend, progress, summary, variants, and deviations, alongside Next.js dependency and configuration updates.",
29d3afd,Naman Agarwal,feat: implement process mining with variant analysis and Directly-Follows Graph construction,
b7dd244,Naman Agarwal,"feat: Introduce navigation guard, common UI state components, breadcrumbs, and back button, integrating them across dashboard pages and layout.",
83c38fd,Naman Agarwal,"feat: Implement column configuration with auto-detection and validation, enhance CSV parsing with detailed logging, and centralize application constants.",
b4c8902,Naman Agarwal,feat: refactor state management to separate log store and implement file upload and parsing logic on the upload page,
794a5b8,Naman Agarwal,"feat: Implement core data upload, parsing, and multi-step configuration workflow with new dashboard pages, UI components, and state management, while removing authentication pages.",
8d1701d,Naman Agarwal,"feat: Introduce core UI components, new dashboard and authentication page structures, and essential project infrastructure.",
a9bc5b7,Naman Agarwal,Initial commit from Create Next App,
