case_id,activity,timestamp,resource,cost
CASE-0008,Deliver Order,2025-01-07 11:30:00,Robert Taylor,80
CASE-0008,Receive Payment,2025-01-08 15:00:00,Sarah Chen,20
CASE-0008,Close Case,2025-01-08 16:00:00,Mike Johnson,10
CASE-0009,Order Received,2025-01-05 09:30:00,Emma Williams,50
CASE-0009,Validate Order,2025-01-05 11:45:00,David Brown,25
CASE-0009,Credit Check,2025-01-05 15:30:00,Lisa Garcia,75
CASE-0009,Order Approved,2025-01-06 10:00:00,James Wilson,30
CASE-0009,Prepare Shipment,2025-01-06 14:30:00,Maria Martinez,100
CASE-0009,Ship Order,2025-01-07 09:00:00,Robert Taylor,150
CASE-0009,Deliver Order,2025-01-08 10:45:00,Sarah Chen,80
CASE-0009,Receive Payment,2025-01-09 14:15:00,Mike Johnson,20
CASE-0009,Close Case,2025-01-09 15:00:00,Emma Williams,10
CASE-0010,Order Received,2025-01-06 08:15:00,David Brown,50
CASE-0010,Order Approved,2025-01-06 10:45:00,Lisa Garcia,30
CASE-0010,Prepare Shipment,2025-01-06 14:30:00,James Wilson,100
CASE-0010,Ship Order,2025-01-07 08:45:00,Maria Martinez,150
CASE-0010,Deliver Order,2025-01-08 11:00:00,Robert Taylor,80
CASE-0010,Receive Payment,2025-01-09 15:30:00,Sarah Chen,20
CASE-0010,Close Case,2025-01-09 16:15:00,Mike Johnson,10
CASE-0011,Order Received,2025-01-06 09:00:00,Emma Williams,50
CASE-0011,Validate Order,2025-01-06 11:30:00,David Brown,25
CASE-0011,Credit Check,2025-01-06 16:00:00,Lisa Garcia,75
CASE-0011,Order Approved,2025-01-07 10:30:00,James Wilson,30
CASE-0011,Prepare Shipment,2025-01-07 14:45:00,Maria Martinez,100
CASE-0011,Ship Order,2025-01-08 09:15:00,Robert Taylor,150
CASE-0011,Deliver Order,2025-01-09 10:30:00,Sarah Chen,80
CASE-0011,Receive Payment,2025-01-10 14:00:00,Mike Johnson,20
CASE-0011,Close Case,2025-01-10 14:45:00,Emma Williams,10
CASE-0012,Order Received,2025-01-07 08:30:00,David Brown,50
CASE-0012,Validate Order,2025-01-07 10:45:00,Lisa Garcia,25
CASE-0012,Credit Check,2025-01-07 15:15:00,James Wilson,75
CASE-0012,Order Rejected,2025-01-08 09:30:00,Maria Martinez,30
CASE-0012,Close Case,2025-01-08 10:15:00,Robert Taylor,10
CASE-0013,Order Received,2025-01-07 09:45:00,Sarah Chen,50
CASE-0013,Validate Order,2025-01-07 12:00:00,Mike Johnson,25
CASE-0013,Credit Check,2025-01-07 16:30:00,Emma Williams,75
CASE-0013,Order Approved,2025-01-08 10:45:00,David Brown,30
CASE-0013,Prepare Shipment,2025-01-08 14:30:00,Lisa Garcia,100
CASE-0013,Ship Order,2025-01-09 09:00:00,James Wilson,150
CASE-0013,Deliver Order,2025-01-10 11:15:00,Maria Martinez,80
CASE-0013,Receive Payment,2025-01-11 15:00:00,Robert Taylor,20
CASE-0013,Close Case,2025-01-11 15:45:00,Sarah Chen,10
CASE-0014,Order Received,2025-01-08 08:00:00,Mike Johnson,50
CASE-0014,Order Approved,2025-01-08 10:15:00,Emma Williams,30
CASE-0014,Prepare Shipment,2025-01-08 14:00:00,David Brown,100
CASE-0014,Ship Order,2025-01-09 08:45:00,Lisa Garcia,150
CASE-0014,Deliver Order,2025-01-10 10:30:00,James Wilson,80
CASE-0014,Receive Payment,2025-01-11 14:15:00,Maria Martinez,20
CASE-0014,Close Case,2025-01-11 15:00:00,Robert Taylor,10
CASE-0015,Order Received,2025-01-08 09:15:00,Sarah Chen,50
CASE-0015,Validate Order,2025-01-08 11:30:00,Mike Johnson,25
CASE-0015,Order Received,2025-01-08 14:00:00,Sarah Chen,50
CASE-0015,Validate Order,2025-01-08 16:30:00,Emma Williams,25
CASE-0015,Credit Check,2025-01-09 10:00:00,David Brown,75
CASE-0015,Order Approved,2025-01-09 14:30:00,Lisa Garcia,30
CASE-0015,Prepare Shipment,2025-01-10 09:00:00,James Wilson,100
CASE-0015,Ship Order,2025-01-10 14:00:00,Maria Martinez,150
CASE-0015,Deliver Order,2025-01-11 10:30:00,Robert Taylor,80
CASE-0015,Receive Payment,2025-01-12 15:00:00,Sarah Chen,20
CASE-0015,Close Case,2025-01-12 16:00:00,Mike Johnson,10
CASE-0016,Order Received,2025-01-09 08:30:00,Emma Williams,50
CASE-0016,Validate Order,2025-01-09 10:45:00,David Brown,25
CASE-0016,Credit Check,2025-01-09 15:00:00,Lisa Garcia,75
CASE-0016,Order Approved,2025-01-10 09:30:00,James Wilson,30
CASE-0016,Prepare Shipment,2025-01-10 13:45:00,Maria Martinez,100
CASE-0016,Ship Order,2025-01-11 08:30:00,Robert Taylor,150
CASE-0016,Deliver Order,2025-01-12 10:15:00,Sarah Chen,80
CASE-0016,Receive Payment,2025-01-13 14:00:00,Mike Johnson,20
CASE-0016,Receive Payment,2025-01-14 10:00:00,Emma Williams,20
CASE-0016,Close Case,2025-01-14 11:00:00,David Brown,10
CASE-0017,Order Received,2025-01-09 09:45:00,Lisa Garcia,50
CASE-0017,Validate Order,2025-01-09 12:00:00,James Wilson,25
CASE-0017,Credit Check,2025-01-09 16:15:00,Maria Martinez,75
CASE-0017,Order Rejected,2025-01-10 10:30:00,Robert Taylor,30
CASE-0017,Close Case,2025-01-10 11:15:00,Sarah Chen,10
CASE-0018,Order Received,2025-01-10 08:00:00,Mike Johnson,50
CASE-0018,Validate Order,2025-01-10 10:15:00,Emma Williams,25
CASE-0018,Credit Check,2025-01-10 14:30:00,David Brown,75
CASE-0018,Order Approved,2025-01-11 09:00:00,Lisa Garcia,30
CASE-0018,Prepare Shipment,2025-01-11 13:30:00,James Wilson,100
CASE-0018,Ship Order,2025-01-12 08:45:00,Maria Martinez,150
CASE-0018,Deliver Order,2025-01-13 10:00:00,Robert Taylor,80
CASE-0018,Receive Payment,2025-01-14 14:15:00,Sarah Chen,20
CASE-0018,Close Case,2025-01-14 15:00:00,Mike Johnson,10
CASE-0019,Order Received,2025-01-10 09:15:00,Emma Williams,50
CASE-0019,Order Approved,2025-01-10 11:30:00,David Brown,30
CASE-0019,Prepare Shipment,2025-01-10 15:00:00,Lisa Garcia,100
CASE-0019,Ship Order,2025-01-11 09:15:00,James Wilson,150
CASE-0019,Deliver Order,2025-01-12 11:30:00,Maria Martinez,80
CASE-0019,Receive Payment,2025-01-13 15:00:00,Robert Taylor,20
CASE-0019,Close Case,2025-01-13 16:00:00,Sarah Chen,10
CASE-0020,Order Received,2025-01-11 08:30:00,Mike Johnson,50
CASE-0020,Validate Order,2025-01-11 10:45:00,Emma Williams,25
CASE-0020,Credit Check,2025-01-11 15:00:00,David Brown,75
CASE-0020,Order Approved,2025-01-12 09:30:00,Lisa Garcia,30
CASE-0020,Prepare Shipment,2025-01-12 14:00:00,James Wilson,100
CASE-0020,Ship Order,2025-01-13 09:00:00,Maria Martinez,150
CASE-0020,Deliver Order,2025-01-14 10:30:00,Robert Taylor,80
CASE-0020,Receive Payment,2025-01-15 14:00:00,Sarah Chen,20
CASE-0020,Close Case,2025-01-15 14:45:00,Mike Johnson,10
CASE-0021,Order Received,2025-01-11 09:45:00,Emma Williams,50
CASE-0021,Validate Order,2025-01-11 12:00:00,David Brown,25
CASE-0021,Credit Check,2025-01-11 16:15:00,Lisa Garcia,75
CASE-0021,Order Rejected,2025-01-12 10:30:00,James Wilson,30
CASE-0021,Close Case,2025-01-12 11:15:00,Maria Martinez,10
CASE-0022,Order Received,2025-01-12 08:00:00,Robert Taylor,50
CASE-0022,Validate Order,2025-01-12 10:15:00,Sarah Chen,25
CASE-0022,Credit Check,2025-01-12 14:30:00,Mike Johnson,75
CASE-0022,Order Approved,2025-01-13 09:00:00,Emma Williams,30
CASE-0022,Prepare Shipment,2025-01-13 13:45:00,David Brown,100
CASE-0022,Ship Order,2025-01-14 08:30:00,Lisa Garcia,150
CASE-0022,Deliver Order,2025-01-15 10:00:00,James Wilson,80
CASE-0022,Receive Payment,2025-01-16 14:15:00,Maria Martinez,20
CASE-0022,Close Case,2025-01-16 15:00:00,Robert Taylor,10
CASE-0023,Order Received,2025-01-12 09:15:00,Sarah Chen,50
CASE-0023,Order Approved,2025-01-12 11:30:00,Mike Johnson,30
CASE-0023,Prepare Shipment,2025-01-12 15:00:00,Emma Williams,100
CASE-0023,Ship Order,2025-01-13 09:00:00,David Brown,150
CASE-0023,Deliver Order,2025-01-14 11:15:00,Lisa Garcia,80
CASE-0023,Receive Payment,2025-01-15 15:00:00,James Wilson,20
CASE-0023,Close Case,2025-01-15 16:00:00,Maria Martinez,10
CASE-0024,Order Received,2025-01-13 08:30:00,Robert Taylor,50
CASE-0024,Validate Order,2025-01-13 10:45:00,Sarah Chen,25
CASE-0024,Order Received,2025-01-13 14:00:00,Robert Taylor,50
CASE-0024,Validate Order,2025-01-13 16:30:00,Mike Johnson,25
CASE-0024,Credit Check,2025-01-14 10:00:00,Emma Williams,75
CASE-0024,Order Approved,2025-01-14 14:30:00,David Brown,30
CASE-0024,Prepare Shipment,2025-01-15 09:00:00,Lisa Garcia,100
CASE-0024,Ship Order,2025-01-15 14:00:00,James Wilson,150
CASE-0024,Deliver Order,2025-01-16 10:30:00,Maria Martinez,80
CASE-0024,Receive Payment,2025-01-17 15:00:00,Robert Taylor,20
CASE-0024,Close Case,2025-01-17 16:00:00,Sarah Chen,10
CASE-0025,Order Received,2025-01-13 09:45:00,Mike Johnson,50
CASE-0025,Validate Order,2025-01-13 12:00:00,Emma Williams,25
CASE-0025,Credit Check,2025-01-13 16:15:00,David Brown,75
CASE-0025,Order Approved,2025-01-14 10:45:00,Lisa Garcia,30
CASE-0025,Prepare Shipment,2025-01-14 14:30:00,James Wilson,100
CASE-0025,Ship Order,2025-01-15 09:00:00,Maria Martinez,150
CASE-0025,Deliver Order,2025-01-16 11:00:00,Robert Taylor,80
CASE-0025,Receive Payment,2025-01-17 14:15:00,Sarah Chen,20
CASE-0025,Receive Payment,2025-01-18 10:00:00,Mike Johnson,20
CASE-0025,Close Case,2025-01-18 11:00:00,Emma Williams,10
